label,generation,hypervolume
u2_nsgaii_div,11,6979526.5497
u2_nsgaii_div,12,6962140.2481
u2_nsgaii_div,13,7027127.4983
u2_nsgaii_div,14,7028994.3353
u2_nsgaii_div,15,7044929.0243
u2_nsgaii_div,16,7046896.8623
u2_nsgaii_div,17,7069574.8951
u2_nsgaii_div,18,7080609.7221
u2_nsgaii_div,19,7106903.0619
u2_nsgaii_div,20,7278202.846
u2_nsgaii_div,21,7331255.121
u2_nsgaii_div,22,7360707.2213
u2_nsgaii_div,23,7447577.6331
u2_nsgaii_div,24,7450667.2581
u2_nsgaii_div,25,7472792.7364
u2_nsgaii_div,26,7497889.7271
u2_nsgaii_div,27,7500123.6281
u2_nsgaii_div,28,7501590.4371
u2_nsgaii_div,29,7501590.4371
u2_nsgaii_div,30,7493708.0401
u2_nsgaii_div,31,7516256.791
u2_nsgaii_div,32,7553129.6418
u2_nsgaii_div,33,7563520.4828
u2_nsgaii_div,34,7565387.2728
u2_nsgaii_div,35,7673516.6756
u2_nsgaii_div,36,7738143.3685
u2_nsgaii_div,37,7763552.6295
u2_nsgaii_div,38,7795344.18
u2_nsgaii_div,39,7850293.1816
u2_nsgaii_div,40,7851701.7146
u2_nsgaii_div,41,7852944.8491
u2_nsgaii_div,42,7852944.8491
u2_nsgaii_div,43,7845770.6496
u2_nsgaii_div,44,7845812.4396
u2_nsgaii_div,45,7845812.4396
u2_nsgaii_div,46,7902713.3751
u2_nsgaii_div,47,7981539.7311
u2_nsgaii_div,48,8005064.5628
u2_nsgaii_div,49,8016016.1133
u2_nsgaii_div,50,8018581.1565
u2_nsgaii_div,51,8016548.2395
u2_nsgaii_div,52,8016548.2395
u2_nsgaii_div,53,7932449.7112
u2_nsgaii_div,54,7934533.4212
u2_nsgaii_div,55,7934533.4212
u2_nsgaii_div,56,7946503.4922
u2_nsgaii_div,57,7946908.6804
u2_nsgaii_div,58,7955508.3484
u2_nsgaii_div,59,7956224.6564
u2_nsgaii_div,60,7962150.1625
u2_nsgaii_div,61,7973883.4495
u2_nsgaii_div,62,7983575.2885
u2_nsgaii_div,63,7983575.2885
u2_nsgaii_div,64,7983575.2885
u2_nsgaii_div,65,8017227.1403
u2_nsgaii_div,66,8152968.5777
u2_nsgaii_div,67,8153357.2717
u2_nsgaii_div,68,8164379.2003
u2_nsgaii_div,69,8159224.0088
u2_nsgaii_div,70,8159224.0088
u2_nsgaii_div,71,8159592.0728
u2_nsgaii_div,72,8163959.0483
u2_nsgaii_div,73,8172432.8318
u2_nsgaii_div,74,8172859.3058
u2_nsgaii_div,75,8175210.6498
u2_nsgaii_div,76,8180848.0596
u2_nsgaii_div,77,8182041.3516
u2_nsgaii_div,78,8184700.0466
u2_nsgaii_div,79,8191293.8583
u2_nsgaii_div,80,8191297.5633
u2_nsgaii_div,81,8191297.5633
u2_nsgaii_div,82,8191297.5633
u2_nsgaii_div,83,8190247.2933
u2_nsgaii_div,84,8192394.7523
u2_nsgaii_div,85,8240966.9739
u2_nsgaii_div,86,8299654.1112
u2_nsgaii_div,87,8299654.1112
u2_nsgaii_div,88,8299654.1112
u2_nsgaii_div,89,8294881.8132
u2_nsgaii_div,90,8304057.3597
u2_nsgaii_div,91,8306588.6067
u2_nsgaii_div,92,8332323.914
u2_nsgaii_div,93,8350832.76
u2_nsgaii_div,94,8381138.3166
u2_nsgaii_div,95,8381138.3166
u2_nsgaii_div,96,8379734.3232
u2_nsgaii_div,97,8381552.9382
u2_nsgaii_div,98,8382389.1542
u2_nsgaii_div,99,8383111.5572
u2_nsgaii_nodiv,0,6737686.1414
u2_nsgaii_nodiv,1,7136056.1796
u2_nsgaii_nodiv,2,7269027.7365
u2_nsgaii_nodiv,3,7290178.3985
u2_nsgaii_nodiv,4,7384816.0611
u2_nsgaii_nodiv,5,7397734.8445
u2_nsgaii_nodiv,6,7466790.8517
u2_nsgaii_nodiv,7,7456706.6857
u2_nsgaii_nodiv,8,7433919.9942
u2_nsgaii_nodiv,9,7438781.1397
u2_nsgaii_nodiv,10,7488533.3645
u2_nsgaii_nodiv,11,7461597.1731
u2_nsgaii_nodiv,12,7404101.4433
u2_nsgaii_nodiv,13,7419771.9543
u2_nsgaii_nodiv,14,7501204.2945
u2_nsgaii_nodiv,15,7367966.6415
u2_nsgaii_nodiv,16,7360608.2125
u2_nsgaii_nodiv,17,7381176.1115
u2_nsgaii_nodiv,18,7418631.726
u2_nsgaii_nodiv,19,7418897.351
u2_nsgaii_nodiv,20,7400610.74
