solution_id,preference,cost,time,feasible,compliance_5,distinct_groups,n_foods,energy,protein,carbohydrate,fiber,sodium,food_ids,food_names
61,53.7,12.52,315.0,0,4,9,9,2163.05,101.8,212.87,24.31,2134.97,86;6;362;91;78;39;183;272;156,ÜZÜM PEKMEZİ | BEYAZ PEYNIR | ŞEFTALİ SUYU LD | YER FISTIĞI EZMESİ | SOSİSLİ MİLFÖY BÖREĞİ | KREP | ETSİZ KAPUSKA | KREMALI FESLEĞENLİ MAKARNA | EKŞİLİ KÖFTE
62,53.0,15.92,315.0,1,5,9,9,2005.18,67.77,251.88,28.66,1623.61,38;86;248;160;150;197;223;403;8,KIYMALI YUFKA BÖREĞİ | ÜZÜM PEKMEZİ | KARPUZ | ELMA SUYU LD | DOMATESLİ BİBERLİ ERİŞTE | EZOGELİN ÇORBASI LD | HAZIR PAKETLİ SÜTLÜ TATLI-SUPANGLE | ZEYTİNYAĞLI PIRASA | BROKOLİ SALATASI
63,52.7,17.14,273.0,1,5,9,9,2114.15,83.3,259.72,36.2,2295.16,3;50;76;6;78;298;384;224;378,AYVA REÇELİ | MEYVELİ YULAF GEVREĞİ | SİYAH ZEYTIN | BEYAZ PEYNIR | SOSİSLİ MİLFÖY BÖREĞİ | MEYHANE PİLAVI | YOĞURTLU ETLİ MANTI | HAZIR PAKETLİ SÜTLÜ TATLI-SÜTLAÇ | YAZ KURU FASULYESİ
64,52.1,19.08,220.0,0,4,9,10,2319.03,82.2,300.54,35.69,1749.52,7;16;302;86;14;27;298;384;224;378,BÖĞÜRTLEN REÇELİ | EKMEK | MUZ | ÜZÜM PEKMEZİ | DİL PEYNİRİ | HAZIR PAKETLİ TATLI-TAHİN HELVASI | MEYHANE PİLAVI | YOĞURTLU ETLİ MANTI | HAZIR PAKETLİ SÜTLÜ TATLI-SÜTLAÇ | YAZ KURU FASULYESİ
65,52.0,14.05,275.0,0,4,8,9,2034.45,92.22,208.75,18.04,1502.2,41;18;16;27;267;271;370;346;386,KURU KAYISI | ELMA SUYU | EKMEK | HAZIR PAKETLİ TATLI-TAHİN HELVASI | KÖRİ SOSLU PİLİÇ  SOTE | KREMALI DOMATES  ÇORBASI | TEL ŞEHRİYELİ HAVUÇ ÇORBASI | SEBZELİ BULGUR PİLAVI | YOĞURTLU ISPANAK
66,51.5,14.8,227.0,0,4,9,11,2163.31,106.42,227.93,26.28,2017.02,6;16;302;86;14;309;147;384;74;280;293,BEYAZ PEYNIR | EKMEK | MUZ | ÜZÜM PEKMEZİ | DİL PEYNİRİ | PARMAK PATATES KIZARTMASI | DOMATES SALATALIK SÖĞÜŞ LD | YOĞURTLU ETLİ MANTI | SEMİZOTU SALATASI | KÜP PATATES KIZARTMASI | MANTARLI PİLİÇ SOTE
67,48.8,10.25,258.0,1,5,8,8,2161.62,53.19,238.29,29.56,1787.22,11;6;77;150;197;191;116;379,ÇİKOLATALI YULAF GEVREĞİ | BEYAZ PEYNIR | SOSİS | DOMATESLİ BİBERLİ ERİŞTE | EZOGELİN ÇORBASI LD | ETSİZ PATLICAN MUSAKKA | BADEMLİ PİRİNÇ PİLAVI | YER FISTIKLI İRMİK HELVASI
68,48.7,9.59,305.0,1,5,7,7,2087.21,80.19,209.43,21.55,1504.87,41;39;362;292;150;197;403,KURU KAYISI | KREP | ŞEFTALİ SUYU LD | MANTARLI PİLİÇ KAVURMA | DOMATESLİ BİBERLİ ERİŞTE | EZOGELİN ÇORBASI LD | ZEYTİNYAĞLI PIRASA
69,48.6,9.13,385.0,1,5,7,8,2067.26,56.35,226.19,23.93,1770.97,90;53;155;39;190;298;271;237,YAZ HELVASI | PANKEK | EKMEK LD | KREP | ETSİZ PATATES OTURTMASI | MEYHANE PİLAVI | KREMALI DOMATES  ÇORBASI | İMAMBAYILDI
70,48.2,17.24,170.0,0,4,9,11,1992.59,57.45,217.5,27.62,1550.76,105;86;3;76;6;79;252;389;223;77;178,ARMUT | ÜZÜM PEKMEZİ | AYVA REÇELİ | SİYAH ZEYTIN | BEYAZ PEYNIR | SÜT | KAYISI SUYU LD | YOĞURTLU KARIŞIK KIZARTMA | HAZIR PAKETLİ SÜTLÜ TATLI-SUPANGLE | SOSİS | ETSİZ BULGURLU LAHANA
