solution_id,preference,cost,time,feasible,compliance_5,distinct_groups,n_foods,energy,protein,carbohydrate,fiber,sodium,food_ids,food_names
10,80.7,28.78,253.0,1,5,11,13,2264.55,91.8,238.87,31.4,1572.2,113;161;252;29;94;367;61;74;223;70;108;125;342,AYVA | ERİK | KAYISI SUYU LD | INCİR REÇELİ | YULAF GEVREĞİ | TAM BUĞDAY EKMEK LD | PERMESAN PEYNİRİ | SEMİZOTU SALATASI | HAZIR PAKETLİ SÜTLÜ TATLI-SUPANGLE | SEBZE GARNİTÜR (HAŞLANMIŞ) | ARPA ŞEHRİYE PİLAVI | BÖFSTRAGONOF | SEBZE ÇORBASI
11,79.9,18.17,415.0,1,5,10,12,2038.31,66.8,266.35,48.58,1836.14,12;113;29;41;53;6;266;197;304;402;56;123,ÇİLEK REÇELİ | AYVA | INCİR REÇELİ | KURU KAYISI | PANKEK | BEYAZ PEYNIR | KORNİŞON TURŞU | EZOGELİN ÇORBASI LD | NOHUTLU AYRAN  ÇORBASI | ZEYTİNYAĞLI KEREVİZ | PATATES SALATASI | BARBUNYA PİLAKİ
12,78.8,17.98,240.0,1,5,8,12,2035.65,59.98,231.04,40.84,1587.95,248;113;29;41;76;6;117;77;28;249;316;134,KARPUZ | AYVA | INCİR REÇELİ | KURU KAYISI | SİYAH ZEYTIN | BEYAZ PEYNIR | BAHARATLI ELMA DİLİM PATATES KIZARTMASI | SOSİS | HİNDİ SALAMI | KAŞAR PEYNİRLİ MAKARNA | PATLICAN MUSAKKA | CEVİZLİ ERİŞTE
13,76.8,27.09,235.0,0,4,11,16,2218.78,76.09,288.73,38.82,1432.42,12;18;67;3;213;113;29;41;76;6;381;354;141;43;95;325,ÇİLEK REÇELİ | ELMA SUYU | PORTAKAL SUYU | AYVA REÇELİ | HAVUÇ SUYU LD | AYVA | INCİR REÇELİ | KURU KAYISI | SİYAH ZEYTIN | BEYAZ PEYNIR | YOĞURT | SOSLU MAKARNA | ÇOBAN SALATASI LD | KÜP PATATES KIZARTMASI B | AKDENİZ SALATASI LD | PİLİÇ PİRZOLA
14,76.5,27.95,165.0,0,4,9,13,1879.48,85.97,219.48,31.82,1622.99,12;18;67;3;213;113;29;41;76;6;386;277;325,ÇİLEK REÇELİ | ELMA SUYU | PORTAKAL SUYU | AYVA REÇELİ | HAVUÇ SUYU LD | AYVA | INCİR REÇELİ | KURU KAYISI | SİYAH ZEYTIN | BEYAZ PEYNIR | YOĞURTLU ISPANAK | KURU KÖFTE | PİLİÇ PİRZOLA
15,76.4,30.41,190.0,1,5,10,17,2111.03,89.88,270.25,28.13,1590.22,89;18;67;3;213;113;29;41;76;86;21;92;5;325;266;152;356,YABAN MERSİNİ MARMELATI | ELMA SUYU | PORTAKAL SUYU | AYVA REÇELİ | HAVUÇ SUYU LD | AYVA | INCİR REÇELİ | KURU KAYISI | SİYAH ZEYTIN | ÜZÜM PEKMEZİ | FINDIK EZMESİ | YEŞİL ZEYTIN | BAL | PİLİÇ PİRZOLA | KORNİŞON TURŞU | DOMATESLİ MAKARNA | SOYA SOSLU PİLİÇ KAVURMA
16,76.3,21.07,215.0,0,4,8,11,2128.99,71.91,278.73,60.78,1408.42,248;113;29;41;76;6;220;48;34;255;198,KARPUZ | AYVA | INCİR REÇELİ | KURU KAYISI | SİYAH ZEYTIN | BEYAZ PEYNIR | HAZIR PAKETLİ SÜTLÜ TATLI-KEŞKÜL | MEVSİM SALATASI | KARNABAHAR SALATASI | KIYMALI BEZELYE | FASULYE PİLAKİ
17,76.1,16.82,299.0,0,4,8,12,1990.41,78.56,286.08,50.09,1850.6,113;29;41;76;6;90;86;250;283;392;167;384,AYVA | INCİR REÇELİ | KURU KAYISI | SİYAH ZEYTIN | BEYAZ PEYNIR | YAZ HELVASI | ÜZÜM PEKMEZİ | KAVUN | MAKARNA SALATASI LD | YOĞURTLU MANTI MAKARNA | ETLİ KURU FASULYE | YOĞURTLU ETLİ MANTI
18,76.0,14.71,410.0,0,3,11,12,2211.68,114.77,194.39,19.85,2195.53,331;39;79;86;248;393;204;85;338;282;70;24,PORTAKAL SUYU LD | KREP | SÜT | ÜZÜM PEKMEZİ | KARPUZ | YOĞURTLU PATLICAN KIZARTMASI | FIRIN PİLİÇ | TAVADA YUMURTA | SALÇALI MAKARNA | MAHLUTA ÇORBASI | SEBZE GARNİTÜR (HAŞLANMIŞ) | HAVUÇ SALATASI
19,75.7,17.51,445.0,1,5,11,12,2140.85,74.94,293.7,29.43,1535.01,29;41;53;90;81;211;402;150;28;271;346;168,INCİR REÇELİ | KURU KAYISI | PANKEK | YAZ HELVASI | ŞEFTALİ SUYU | HAVUÇ ÇORBASI | ZEYTİNYAĞLI KEREVİZ | DOMATESLİ BİBERLİ ERİŞTE | HİNDİ SALAMI | KREMALI DOMATES  ÇORBASI | SEBZELİ BULGUR PİLAVI | ETLİ NOHUT
